OBJECTID,Collection_Date,Site_Name,Lat,Long,Nitrate,Nitrite,Nitrogen,Temperature,Conductivity,pH,Dissolved_Oxygen,Total_Dissolved_Solids,Flow,Turbidity,Elevation
1,2017-07-06,IDEQ_WQX-2017SBOIA003,42.185899,-116.505431,,,,23.8,323,8.78,,,,,1444.678711
2,2014-10-22,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,9.8,320,8.1,10.1,,,1,1616.466309
3,2014-07-16,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,26.8,259,8.3,8.2,,,2,1616.466309
4,2014-08-06,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,18.5,248,7.28,3.1,,,2,1616.466309
5,2014-11-19,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,1,350,7.91,12.8,,,3,1616.466309
6,2016-09-21,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,14.8,307,8.4,9.2,,,4,1616.466309
7,2016-08-31,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,19.3,293,7.99,9,,,2,1616.466309
8,2017-06-26,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,22.8,284,8.26,6,,,4,1616.466309
9,2017-08-30,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,20.3,320,8.2,6.7,,,4,1616.466309
10,2018-08-27,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,16.3,322,7.8,5.6,,,3,1616.466309
11,2019-08-29,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,18.2,288,8.1,5.88,,,5,1616.466309
12,2019-09-23,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,13.7,290,7.9,7.2,,,2,1616.466309
13,2021-09-01,1119USBR_WQX-DVO102,42.0351666,-116.2198332,,,,17.8,199,8,6.48,188,,4,1616.466309
14,2014-08-13,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,18.2,296,7.63,5.8,,,2,1607.510132
15,2014-07-16,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,22.8,272,8.08,6.5,,,2,1607.510132
16,2016-09-21,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,13.9,249,9.12,8.8,,,6,1607.510132
17,2016-08-31,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,19,248,9.5,12.8,,,2,1607.510132
18,2017-08-31,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,14.7,192,8.1,8.1,,,4,1607.510132
19,2017-06-26,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,23.3,289,8.1,7.4,,,6,1607.510132
20,2018-08-28,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,19,296,7.6,7.4,,,8,1607.510132
21,2019-08-29,1119USBR_WQX-DVO103,42.0813332,-116.2813316,,,,19.2,268,8.06,6.42,,,5,1607.510132
22,2014-08-06,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,15.9,236,7,3.5,,,30,1627.789063
23,2016-09-24,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,9.6,341,6.73,6.7,,,,1627.789063
24,2017-06-26,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,17.8,269,7.8,5.8,,,2,1627.789063
25,2018-08-27,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,13.7,256,7,8.8,,,6,1627.789063
26,2019-09-23,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,14.4,251,8.1,9.06,,,4,1627.789063
27,2019-04-29,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,14.6,153,7.54,9.9,,,5,1627.789063
28,2019-08-28,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,19.9,219,7.6,6.72,,,4,1627.789063
29,2019-04-02,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,9.2,182,7.81,9.9,,,8,1627.789063
30,2019-06-10,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,21.3,191,7.9,6.92,,,6,1627.789063
31,2019-04-10,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,6.5,175,8.05,11.7,,,16,1627.789063
32,2019-04-11,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,,176,,,,,16,1627.789063
33,2021-10-13,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,2.3,220,8.59,11.1,125,,12,1627.789063
34,2021-04-13,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,5.7,155,7.58,9.93,,,4,1627.789063
35,2021-09-12,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,12.5,242,7.8,6.4,138,,5,1627.789063
36,2021-08-30,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,12.1,251,7.87,6,148,,4,1627.789063
37,2021-09-30,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,6.4,243,8.3,10.4,136,,14,1627.789063
38,2021-03-31,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,11.5,205,7.8,8.66,132,,5,1627.789063
39,2021-03-17,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,9.7,242,7.98,8.22,,,3,1627.789063
40,2023-08-15,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,20.8,214,9.1,7.7,124,,2,1627.789063
41,2023-09-19,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,9.4,480,12.1,7.28,,,,1627.789063
42,2023-08-14,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,23.2,229,6.83,2.07,138,,3,1627.789063
43,2023-09-06,1119USBR_WQX-DVO114,42.0041666,-116.1178332,,,,,330,,,,,,1627.789063
44,2014-07-16,1119USBR_WQX-DVO122,42.0113333,-116.1595,,,,37,284,8.39,17.1,,,2,1625.111206
45,2014-09-10,1119USBR_WQX-DVO122,42.0113333,-116.1595,,,,19.4,293,8.3,17.4,,,4,1625.111206
